Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,metadata_map_load_time_sec,metadata_map_load_time_nanosec,metadata_update_time_sec,metadata_update_time_nanosec,metadata_layer,metadata_resolution,metadata_size_x,metadata_size_y,metadata_origin_position_x,metadata_origin_position_y,metadata_origin_position_z,metadata_origin_orientation_x,metadata_origin_orientation_y,metadata_origin_orientation_z,metadata_origin_orientation_w,data
1765492324.9056659,18,639000000,map,0,0,0,0,master,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492326.905299,20,361000000,map,0,0,0,0,master,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492328.9052737,22,305000000,map,0,0,0,0,master,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492330.9046059,24,267000000,map,0,0,0,0,master,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492332.9058282,26,226000000,map,0,0,0,0,master,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492334.9066794,28,173000000,map,0,0,0,0,master,0.05000000074505806,600,526,-15.000769120454997,-9.180860015881393,0.0,0.0,0.0,0.0,1.0,<array len=315600>
1765492336.9093287,30,123000000,map,0,0,0,0,master,0.05000000074505806,600,690,-15.000769120454997,-17.393014077038835,0.0,0.0,0.0,0.0,1.0,<array len=414000>
1765492338.908657,32,76000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.007605136642795,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492340.9126148,34,23000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492342.9069827,35,970000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492344.9075325,37,917000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492346.9062967,39,867000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492348.9099672,41,805000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492350.908156,43,746000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492352.9074783,45,693000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492354.911219,47,649000000,map,0,0,0,0,master,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492356.9108236,49,605000000,map,0,0,0,0,master,0.05000000074505806,600,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522000>
1765492358.9098709,51,531000000,map,0,0,0,0,master,0.05000000074505806,600,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522000>
1765492360.9152431,53,496000000,map,0,0,0,0,master,0.05000000074505806,600,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522000>
1765492362.9091415,55,449000000,map,0,0,0,0,master,0.05000000074505806,600,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522000>
1765492364.9119582,57,405000000,map,0,0,0,0,master,0.05000000074505806,601,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522870>
1765492366.9146,59,355000000,map,0,0,0,0,master,0.05000000074505806,601,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522870>
1765492368.9127326,61,314000000,map,0,0,0,0,master,0.05000000074505806,601,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522870>
1765492370.9111016,63,261000000,map,0,0,0,0,master,0.05000000074505806,601,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522870>
1765492372.912061,65,211000000,map,0,0,0,0,master,0.05000000074505806,601,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522870>
1765492374.9236403,67,152000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492376.9124177,69,99000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492378.925642,71,40000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492380.9116096,72,990000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492382.923777,74,937000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492384.9154694,76,866000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492386.9140673,78,813000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492388.9238422,80,772000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492390.9242592,82,719000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492392.9151294,84,648000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492394.9128315,86,580000000,map,0,0,0,0,master,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
